car_ID,gas,turbo,four.door,front.engine,wheelbase,carlength,carwidth,carheight,enginesize,horsepower,peakrpm,citympg,highwaympg,price
1,Yes,No,No,Yes,88.6,168.8,64.1,48.8,130,111,5000,21,27,13495
2,Yes,No,No,Yes,88.6,168.8,64.1,48.8,130,111,5000,21,27,16500
3,Yes,No,No,Yes,94.5,171.2,65.5,52.4,152,154,5000,19,26,16500
4,Yes,No,Yes,Yes,99.8,176.6,66.2,54.3,109,102,5500,24,30,13950
5,Yes,No,Yes,Yes,99.4,176.6,66.4,54.3,136,115,5500,18,22,17450
6,Yes,No,No,Yes,99.8,177.3,66.3,53.1,136,110,5500,19,25,15250
7,Yes,No,Yes,Yes,105.8,192.7,71.4,55.7,136,110,5500,19,25,17710
8,Yes,No,Yes,Yes,105.8,192.7,71.4,55.7,136,110,5500,19,25,18920
9,Yes,Yes,Yes,Yes,105.8,192.7,71.4,55.9,131,140,5500,17,20,23875
10,Yes,Yes,No,Yes,99.5,178.2,67.9,52,131,160,5500,16,22,17859.167
11,Yes,No,No,Yes,101.2,176.8,64.8,54.3,108,101,5800,23,29,16430
12,Yes,No,Yes,Yes,101.2,176.8,64.8,54.3,108,101,5800,23,29,16925
13,Yes,No,No,Yes,101.2,176.8,64.8,54.3,164,121,4250,21,28,20970
14,Yes,No,Yes,Yes,101.2,176.8,64.8,54.3,164,121,4250,21,28,21105
15,Yes,No,Yes,Yes,103.5,189,66.9,55.7,164,121,4250,20,25,24565
16,Yes,No,Yes,Yes,103.5,189,66.9,55.7,209,182,5400,16,22,30760
17,Yes,No,No,Yes,103.5,193.8,67.9,53.7,209,182,5400,16,22,41315
18,Yes,No,Yes,Yes,110,197,70.9,56.3,209,182,5400,15,20,36880
19,Yes,No,No,Yes,88.4,141.1,60.3,53.2,61,48,5100,47,53,5151
20,Yes,No,No,Yes,94.5,155.9,63.6,52,90,70,5400,38,43,6295
21,Yes,No,Yes,Yes,94.5,158.8,63.6,52,90,70,5400,38,43,6575
22,Yes,No,No,Yes,93.7,157.3,63.8,50.8,90,68,5500,37,41,5572
23,Yes,No,No,Yes,93.7,157.3,63.8,50.8,90,68,5500,31,38,6377
24,Yes,Yes,No,Yes,93.7,157.3,63.8,50.8,98,102,5500,24,30,7957
25,Yes,No,Yes,Yes,93.7,157.3,63.8,50.6,90,68,5500,31,38,6229
26,Yes,No,Yes,Yes,93.7,157.3,63.8,50.6,90,68,5500,31,38,6692
27,Yes,No,Yes,Yes,93.7,157.3,63.8,50.6,90,68,5500,31,38,7609
28,Yes,Yes,No,Yes,93.7,157.3,63.8,50.6,98,102,5500,24,30,8558
29,Yes,No,Yes,Yes,103.3,174.6,64.6,59.8,122,88,5000,24,30,8921
30,Yes,Yes,No,Yes,95.9,173.2,66.3,50.2,156,145,5000,19,24,12964
31,Yes,No,No,Yes,86.6,144.6,63.9,50.8,92,58,4800,49,54,6479
32,Yes,No,No,Yes,86.6,144.6,63.9,50.8,92,76,6000,31,38,6855
33,Yes,No,No,Yes,93.7,150,64,52.6,79,60,5500,38,42,5399
34,Yes,No,No,Yes,93.7,150,64,52.6,92,76,6000,30,34,6529
35,Yes,No,No,Yes,93.7,150,64,52.6,92,76,6000,30,34,7129
36,Yes,No,Yes,Yes,96.5,163.4,64,54.5,92,76,6000,30,34,7295
37,Yes,No,Yes,Yes,96.5,157.1,63.9,58.3,92,76,6000,30,34,7295
38,Yes,No,No,Yes,96.5,167.5,65.2,53.3,110,86,5800,27,33,7895
39,Yes,No,No,Yes,96.5,167.5,65.2,53.3,110,86,5800,27,33,9095
40,Yes,No,Yes,Yes,96.5,175.4,65.2,54.1,110,86,5800,27,33,8845
41,Yes,No,Yes,Yes,96.5,175.4,62.5,54.1,110,86,5800,27,33,10295
42,Yes,No,Yes,Yes,96.5,175.4,65.2,54.1,110,101,5800,24,28,12945
43,Yes,No,No,Yes,96.5,169.1,66,51,110,100,5500,25,31,10345
44,Yes,No,Yes,Yes,94.3,170.7,61.8,53.5,111,78,4800,24,29,6785
45,Yes,No,No,Yes,94.5,155.9,63.6,52,90,70,5400,38,43,8916.5
46,Yes,No,Yes,Yes,94.5,155.9,63.6,52,90,70,5400,38,43,8916.5
47,Yes,No,No,Yes,96,172.6,65.2,51.4,119,90,5000,24,29,11048
48,Yes,No,Yes,Yes,113,199.6,69.6,52.8,258,176,4750,15,19,32250
49,Yes,No,Yes,Yes,113,199.6,69.6,52.8,258,176,4750,15,19,35550
50,Yes,No,No,Yes,102,191.7,70.6,47.8,326,262,5000,13,17,36000
51,Yes,No,No,Yes,93.1,159.1,64.2,54.1,91,68,5000,30,31,5195
52,Yes,No,No,Yes,93.1,159.1,64.2,54.1,91,68,5000,31,38,6095
53,Yes,No,No,Yes,93.1,159.1,64.2,54.1,91,68,5000,31,38,6795
54,Yes,No,Yes,Yes,93.1,166.8,64.2,54.1,91,68,5000,31,38,6695
55,Yes,No,Yes,Yes,93.1,166.8,64.2,54.1,91,68,5000,31,38,7395
56,Yes,No,No,Yes,95.3,169,65.7,49.6,70,101,6000,17,23,10945
57,Yes,No,No,Yes,95.3,169,65.7,49.6,70,101,6000,17,23,11845
58,Yes,No,No,Yes,95.3,169,65.7,49.6,70,101,6000,17,23,13645
59,Yes,No,No,Yes,95.3,169,65.7,49.6,80,135,6000,16,23,15645
60,Yes,No,No,Yes,98.8,177.8,66.5,53.7,122,84,4800,26,32,8845
61,Yes,No,Yes,Yes,98.8,177.8,66.5,55.5,122,84,4800,26,32,8495
62,Yes,No,No,Yes,98.8,177.8,66.5,53.7,122,84,4800,26,32,10595
63,Yes,No,Yes,Yes,98.8,177.8,66.5,55.5,122,84,4800,26,32,10245
64,No,No,Yes,Yes,98.8,177.8,66.5,55.5,122,64,4650,36,42,10795
65,Yes,No,Yes,Yes,98.8,177.8,66.5,55.5,122,84,4800,26,32,11245
66,Yes,No,Yes,Yes,104.9,175,66.1,54.4,140,120,5000,19,27,18280
67,No,No,Yes,Yes,104.9,175,66.1,54.4,134,72,4200,31,39,18344
68,No,Yes,Yes,Yes,110,190.9,70.3,56.5,183,123,4350,22,25,25552
69,No,Yes,Yes,Yes,110,190.9,70.3,58.7,183,123,4350,22,25,28248
70,No,Yes,No,Yes,106.7,187.5,70.3,54.9,183,123,4350,22,25,28176
71,No,Yes,Yes,Yes,115.6,202.6,71.7,56.3,183,123,4350,22,25,31600
72,Yes,No,Yes,Yes,115.6,202.6,71.7,56.5,234,155,4750,16,18,34184
73,Yes,No,No,Yes,96.6,180.3,70.5,50.8,234,155,4750,16,18,35056
74,Yes,No,Yes,Yes,120.9,208.1,71.7,56.7,308,184,4500,14,16,40960
75,Yes,No,No,Yes,112,199.2,72,55.4,304,184,4500,14,16,45400
76,Yes,Yes,No,Yes,102.7,178.4,68,54.8,140,175,5000,19,24,16503
77,Yes,No,No,Yes,93.7,157.3,64.4,50.8,92,68,5500,37,41,5389
78,Yes,No,No,Yes,93.7,157.3,64.4,50.8,92,68,5500,31,38,6189
79,Yes,No,No,Yes,93.7,157.3,64.4,50.8,92,68,5500,31,38,6669
80,Yes,Yes,No,Yes,93,157.3,63.8,50.8,98,102,5500,24,30,7689
81,Yes,Yes,No,Yes,96.3,173,65.4,49.4,110,116,5500,23,30,9959
82,Yes,No,No,Yes,96.3,173,65.4,49.4,122,88,5000,25,32,8499
83,Yes,Yes,No,Yes,95.9,173.2,66.3,50.2,156,145,5000,19,24,12629
84,Yes,Yes,No,Yes,95.9,173.2,66.3,50.2,156,145,5000,19,24,14869
85,Yes,Yes,No,Yes,95.9,173.2,66.3,50.2,156,145,5000,19,24,14489
86,Yes,No,Yes,Yes,96.3,172.4,65.4,51.6,122,88,5000,25,32,6989
87,Yes,No,Yes,Yes,96.3,172.4,65.4,51.6,122,88,5000,25,32,8189
88,Yes,Yes,Yes,Yes,96.3,172.4,65.4,51.6,110,116,5500,23,30,9279
89,Yes,No,Yes,Yes,96.3,172.4,65.4,51.6,110,116,5500,23,30,9279
90,Yes,No,No,Yes,94.5,165.3,63.8,54.5,97,69,5200,31,37,5499
91,No,No,No,Yes,94.5,165.3,63.8,54.5,103,55,4800,45,50,7099
92,Yes,No,No,Yes,94.5,165.3,63.8,54.5,97,69,5200,31,37,6649
93,Yes,No,Yes,Yes,94.5,165.3,63.8,54.5,97,69,5200,31,37,6849
94,Yes,No,Yes,Yes,94.5,170.2,63.8,53.5,97,69,5200,31,37,7349
95,Yes,No,No,Yes,94.5,165.3,63.8,54.5,97,69,5200,31,37,7299
96,Yes,No,No,Yes,94.5,165.6,63.8,53.3,97,69,5200,31,37,7799
97,Yes,No,Yes,Yes,94.5,165.3,63.8,54.5,97,69,5200,31,37,7499
98,Yes,No,Yes,Yes,94.5,170.2,63.8,53.5,97,69,5200,31,37,7999
99,Yes,No,No,Yes,95.1,162.4,63.8,53.3,97,69,5200,31,37,8249
100,Yes,No,Yes,Yes,97.2,173.4,65.2,54.7,120,97,5200,27,34,8949
101,Yes,No,Yes,Yes,97.2,173.4,65.2,54.7,120,97,5200,27,34,9549
102,Yes,No,Yes,Yes,100.4,181.7,66.5,55.1,181,152,5200,17,22,13499
103,Yes,No,Yes,Yes,100.4,184.6,66.5,56.1,181,152,5200,17,22,14399
104,Yes,No,Yes,Yes,100.4,184.6,66.5,55.1,181,152,5200,19,25,13499
105,Yes,No,No,Yes,91.3,170.7,67.9,49.7,181,160,5200,19,25,17199
106,Yes,Yes,No,Yes,91.3,170.7,67.9,49.7,181,200,5200,17,23,19699
107,Yes,No,No,Yes,99.2,178.5,67.9,49.7,181,160,5200,19,25,18399
108,Yes,No,Yes,Yes,107.9,186.7,68.4,56.7,120,97,5000,19,24,11900
109,No,Yes,Yes,Yes,107.9,186.7,68.4,56.7,152,95,4150,28,33,13200
110,Yes,No,Yes,Yes,114.2,198.9,68.4,58.7,120,97,5000,19,24,12440
111,No,Yes,Yes,Yes,114.2,198.9,68.4,58.7,152,95,4150,25,25,13860
112,Yes,No,Yes,Yes,107.9,186.7,68.4,56.7,120,95,5000,19,24,15580
113,No,Yes,Yes,Yes,107.9,186.7,68.4,56.7,152,95,4150,28,33,16900
114,Yes,No,Yes,Yes,114.2,198.9,68.4,56.7,120,95,5000,19,24,16695
115,No,Yes,Yes,Yes,114.2,198.9,68.4,58.7,152,95,4150,25,25,17075
116,Yes,No,Yes,Yes,107.9,186.7,68.4,56.7,120,97,5000,19,24,16630
117,No,Yes,Yes,Yes,107.9,186.7,68.4,56.7,152,95,4150,28,33,17950
118,Yes,Yes,Yes,Yes,108,186.7,68.3,56,134,142,5600,18,24,18150
119,Yes,No,No,Yes,93.7,157.3,63.8,50.8,90,68,5500,37,41,5572
120,Yes,Yes,No,Yes,93.7,157.3,63.8,50.8,98,102,5500,24,30,7957
121,Yes,No,Yes,Yes,93.7,157.3,63.8,50.6,90,68,5500,31,38,6229
122,Yes,No,Yes,Yes,93.7,167.3,63.8,50.8,90,68,5500,31,38,6692
123,Yes,No,Yes,Yes,93.7,167.3,63.8,50.8,98,68,5500,31,38,7609
124,Yes,No,Yes,Yes,103.3,174.6,64.6,59.8,122,88,5000,24,30,8921
125,Yes,Yes,No,Yes,95.9,173.2,66.3,50.2,156,145,5000,19,24,12764
126,Yes,No,No,Yes,94.5,168.9,68.3,50.2,151,143,5500,19,27,22018
127,Yes,No,No,No,89.5,168.9,65,51.6,194,207,5900,17,25,32528
128,Yes,No,No,No,89.5,168.9,65,51.6,194,207,5900,17,25,34028
129,Yes,No,No,No,89.5,168.9,65,51.6,194,207,5900,17,25,37028
130,Yes,No,No,Yes,98.4,175.7,72.3,50.5,203,288,5750,17,28,31400.5
131,Yes,No,Yes,Yes,96.1,181.5,66.5,55.2,132,90,5100,23,31,9295
132,Yes,No,No,Yes,96.1,176.8,66.6,50.5,132,90,5100,23,31,9895
133,Yes,No,No,Yes,99.1,186.6,66.5,56.1,121,110,5250,21,28,11850
134,Yes,No,Yes,Yes,99.1,186.6,66.5,56.1,121,110,5250,21,28,12170
135,Yes,No,No,Yes,99.1,186.6,66.5,56.1,121,110,5250,21,28,15040
136,Yes,No,Yes,Yes,99.1,186.6,66.5,56.1,121,110,5250,21,28,15510
137,Yes,Yes,No,Yes,99.1,186.6,66.5,56.1,121,160,5500,19,26,18150
138,Yes,Yes,Yes,Yes,99.1,186.6,66.5,56.1,121,160,5500,19,26,18620
139,Yes,No,No,Yes,93.7,156.9,63.4,53.7,97,69,4900,31,36,5118
140,Yes,No,No,Yes,93.7,157.9,63.6,53.7,108,73,4400,26,31,7053
141,Yes,No,No,Yes,93.3,157.3,63.8,55.7,108,73,4400,26,31,7603
142,Yes,No,Yes,Yes,97.2,172,65.4,52.5,108,82,4800,32,37,7126
143,Yes,No,Yes,Yes,97.2,172,65.4,52.5,108,82,4400,28,33,7775
144,Yes,No,Yes,Yes,97.2,172,65.4,52.5,108,94,5200,26,32,9960
145,Yes,No,Yes,Yes,97,172,65.4,54.3,108,82,4800,24,25,9233
146,Yes,Yes,Yes,Yes,97,172,65.4,54.3,108,111,4800,24,29,11259
147,Yes,No,Yes,Yes,97,173.5,65.4,53,108,82,4800,28,32,7463
148,Yes,No,Yes,Yes,97,173.5,65.4,53,108,94,5200,25,31,10198
149,Yes,No,Yes,Yes,96.9,173.6,65.4,54.9,108,82,4800,23,29,8013
150,Yes,Yes,Yes,Yes,96.9,173.6,65.4,54.9,108,111,4800,23,23,11694
151,Yes,No,No,Yes,95.7,158.7,63.6,54.5,92,62,4800,35,39,5348
152,Yes,No,No,Yes,95.7,158.7,63.6,54.5,92,62,4800,31,38,6338
153,Yes,No,Yes,Yes,95.7,158.7,63.6,54.5,92,62,4800,31,38,6488
154,Yes,No,Yes,Yes,95.7,169.7,63.6,59.1,92,62,4800,31,37,6918
155,Yes,No,Yes,Yes,95.7,169.7,63.6,59.1,92,62,4800,27,32,7898
156,Yes,No,Yes,Yes,95.7,169.7,63.6,59.1,92,62,4800,27,32,8778
157,Yes,No,Yes,Yes,95.7,166.3,64.4,53,98,70,4800,30,37,6938
158,Yes,No,Yes,Yes,95.7,166.3,64.4,52.8,98,70,4800,30,37,7198
159,No,No,Yes,Yes,95.7,166.3,64.4,53,110,56,4500,34,36,7898
160,No,No,Yes,Yes,95.7,166.3,64.4,52.8,110,56,4500,38,47,7788
161,Yes,No,Yes,Yes,95.7,166.3,64.4,53,98,70,4800,38,47,7738
162,Yes,No,Yes,Yes,95.7,166.3,64.4,52.8,98,70,4800,28,34,8358
163,Yes,No,Yes,Yes,95.7,166.3,64.4,52.8,98,70,4800,28,34,9258
164,Yes,No,No,Yes,94.5,168.7,64,52.6,98,70,4800,29,34,8058
165,Yes,No,No,Yes,94.5,168.7,64,52.6,98,70,4800,29,34,8238
166,Yes,No,No,Yes,94.5,168.7,64,52.6,98,112,6600,26,29,9298
167,Yes,No,No,Yes,94.5,168.7,64,52.6,98,112,6600,26,29,9538
168,Yes,No,No,Yes,98.4,176.2,65.6,52,146,116,4800,24,30,8449
169,Yes,No,No,Yes,98.4,176.2,65.6,52,146,116,4800,24,30,9639
170,Yes,No,No,Yes,98.4,176.2,65.6,52,146,116,4800,24,30,9989
171,Yes,No,No,Yes,98.4,176.2,65.6,52,146,116,4800,24,30,11199
172,Yes,No,No,Yes,98.4,176.2,65.6,52,146,116,4800,24,30,11549
173,Yes,No,No,Yes,98.4,176.2,65.6,53,146,116,4800,24,30,17669
174,Yes,No,Yes,Yes,102.4,175.6,66.5,54.9,122,92,4200,29,34,8948
175,No,Yes,Yes,Yes,102.4,175.6,66.5,54.9,110,73,4500,30,33,10698
176,Yes,No,Yes,Yes,102.4,175.6,66.5,53.9,122,92,4200,27,32,9988
177,Yes,No,Yes,Yes,102.4,175.6,66.5,54.9,122,92,4200,27,32,10898
178,Yes,No,Yes,Yes,102.4,175.6,66.5,53.9,122,92,4200,27,32,11248
179,Yes,No,No,Yes,102.9,183.5,67.7,52,171,161,5200,20,24,16558
180,Yes,No,No,Yes,102.9,183.5,67.7,52,171,161,5200,19,24,15998
181,Yes,No,Yes,Yes,104.5,187.8,66.5,54.1,171,156,5200,20,24,15690
182,Yes,No,Yes,Yes,104.5,187.8,66.5,54.1,161,156,5200,19,24,15750
183,No,No,No,Yes,97.3,171.7,65.5,55.7,97,52,4800,37,46,7775
184,Yes,No,No,Yes,97.3,171.7,65.5,55.7,109,85,5250,27,34,7975
185,No,No,Yes,Yes,97.3,171.7,65.5,55.7,97,52,4800,37,46,7995
186,Yes,No,Yes,Yes,97.3,171.7,65.5,55.7,109,85,5250,27,34,8195
